"h3_id","h3_mean_temp","h3_median_temp","h3_center_lon","h3_center_lat","species","n_occ","min_seabed_t","mean_seabed_t","median_seabed_t","max_seabed_t","mid_point","thermal_range","seabed_thermal_pos"
"852a636bfffffff",1.822,1.822,-64.5400006257058,34.4509997273526,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a636ffffffff",1.82,1.82,-64.4684981181285,34.3307727105674,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
"852a6373fffffff",1.826,1.826,-64.2517979371276,34.5543675376151,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6377fffffff",1.819,1.819,-64.1809340100983,34.4338049584876,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
"852a637bfffffff",1.827,1.827,-64.4317491641464,34.5630466314788,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6383fffffff",1.829,1.829,-63.5619760237308,34.8709220713347,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6387fffffff",1.83,1.83,-63.4925600568449,34.7494130924333,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a638bfffffff",1.828,1.828,-63.7425290526398,34.8807597423749,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a638ffffffff",1.829,1.829,-63.6725970597457,34.7592907073013,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6393fffffff",1.831,1.831,-63.4508866864401,34.9826212418996,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6397fffffff",1.83,1.83,-63.3816196019314,34.8608262473641,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a639bfffffff",1.83,1.83,-63.6317618472395,34.9926778678966,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63a3fffffff",1.828,1.828,-63.5338389317763,34.5170928298317,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63a7fffffff",1.828,1.828,-63.4650073855727,34.3963657396808,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63abfffffff",1.828,1.828,-63.7130453201652,34.5267934450829,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63affffffff",1.827,1.827,-63.6437051852481,34.4061045027805,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63b3fffffff",1.829,1.829,-63.4235112162283,34.6281518236515,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63b7fffffff",1.829,1.829,-63.3548267960658,34.5071391366824,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63bbfffffff",1.828,1.828,-63.6030345920302,34.6380681076308,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63c3fffffff",1.832,1.832,-63.9940977806913,35.0120095969592,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a63c7fffffff",1.83,1.83,-63.92327541861,34.8903383042486,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63cbfffffff",1.832,1.832,-64.1755519249279,35.0212828002063,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a63cffffffff",1.831,1.831,-64.1042118291942,34.899656816262,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63d3fffffff",1.834,1.834,-63.8835126078077,35.1244334683351,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a63d7fffffff",1.83,1.83,-63.8128333129762,35.0024743055143,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a63dbfffffff",1.834,1.834,-64.0652975845852,35.1339241714312,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6403fffffff",1.836,1.836,-62.3817789085912,36.227734268447,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
